job_title,description,required_skills,category
Data Scientist,"Analyze data and build models","python, machine learning, statistics","Tech"
Software Engineer,"Develop software applications","java, python, sql","Tech"
Data Analyst,"Analyze business data","excel, sql, python","Tech"
Marketing Manager,"Manage marketing campaigns","marketing, social media, analytics","Business"
Product Manager,"Oversee product development","product management, agile, communication","Business"
Web Developer,"Build websites","html, css, javascript","Tech"
DevOps Engineer,"Manage infrastructure","docker, kubernetes, aws","Tech"
UX Designer,"Design user interfaces","figma, sketch, user research","Design"
Financial Analyst,"Analyze financial data","excel, finance, modeling","Finance"
HR Specialist,"Manage human resources","hr, recruitment, employee relations","HR"
Business Analyst,"Evaluate business needs and processes","business analysis, excel, communication","Business"
Quality Assurance Engineer,"Test software for bugs and reliability","testing, automation, selenium","Tech"
Customer Support Specialist,"Help customers solve product issues","customer service, communication, troubleshooting","Support"
Graphic Designer,"Create visual designs and branding","photoshop, illustrator, creativity","Design"
Content Writer,"Write website and marketing content","writing, seo, research","Business"
Sales Representative,"Sell products and manage client relationships","sales, negotiation, communication","Business"
Social Media Manager,"Plan and execute social campaigns","social media, content creation, analytics","Business"
IT Support Technician,"Support company hardware and software","troubleshooting, networking, customer service","Tech"
Cybersecurity Analyst,"Protect systems and networks","security, risk assessment, incident response","Tech"
Database Administrator,"Manage database performance and backups","sql, database administration, performance tuning","Tech"
Network Engineer,"Design and maintain network systems","networking, routing, switching","Tech"
Operations Manager,"Coordinate business operations and logistics","operations, planning, leadership","Business"
Recruitment Coordinator,"Manage hiring and candidate communication","recruiting, communication, interviewing","HR"
Training Specialist,"Train employees on systems and skills","training, facilitation, documentation","HR"
Legal Assistant,"Support legal research and documentation","legal research, communication, organization","Legal"
Healthcare Coordinator,"Coordinate patient care and records","healthcare, coordination, communication","Healthcare"
Data Engineer,"Build data systems and pipelines","python, sql, etl","Tech"
Search Engine Optimization Specialist,"Improve website search rankings","seo, analytics, content","Business"
Mobile App Developer,"Build mobile applications","swift, kotlin, react native","Tech"
Project Coordinator,"Support project planning and delivery","project coordination, communication, scheduling","Business"
Event Planner,"Organize events and manage logistics","event planning, coordination, budgeting","Business"
Supply Chain Analyst,"Optimize supply chain processes","supply chain, analytics, planning","Logistics"
Technical Writer,"Document technical systems and products","technical writing, documentation, communication","Business"
Training Manager,"Manage employee learning programs","training, leadership, curriculum design","HR"
E-commerce Specialist,"Manage online selling channels","ecommerce, marketing, analytics","Business"
Research Analyst,"Conduct market and industry research","research, analysis, reporting","Business"
Business Development Manager,"Develop new business opportunities","business development, sales, networking","Business"
Customer Success Manager,"Help customers get value from products","customer success, relationship management","Support"
Maintenance Technician,"Maintain equipment and facilities","maintenance, repair, troubleshooting","Operations"
Executive Assistant,"Support executives with scheduling and communication","administrative, organization, communication","Business"
Compliance Officer,"Ensure legal and regulatory compliance","compliance, auditing, reporting","Legal"
